Week,Paper Lions,In Brees We Trust,Overconfidentii Vulgaris,Untar Stars,Birmingham Iron,Killer Clowns,Kristen McCaffrey,Team Teem,Spaceballs The Fantasy Team,Green Bay Popik,The Sub-Marinos,Pigskin Syndicate,Brian's Bulldogs,The Ol Dirty Sock
1,144,182.03,158.61,119.98,120.24,118.13,173.86,81.45,141.85,154.04,120.1,113.9,142.56,111.46
2,122.81,100.5,96.49,143.37,129.75,144.79,127.52,167.93,183.84,140.13,131.85,180.37,136.53,121.51
3,139.08,147.84,102.11,115.6,131.98,179.7,153.32,152.38,111.25,155.45,131.37,99.42,149.78,116.29
4,156.02,149.12,105.65,180.95,217.08,123.9,112.18,127.37,114.42,93.74,90.18,128.75,174,139.49
5,111.35,136.29,136.41,110.23,129.19,109.67,157.41,102.46,115,196.7,144.99,89.14,126.87,167.06
6,119.89,132.38,119.6,160.81,128.08,181.17,124.97,105.23,148.92,101.95,107.85,139.49,137.74,119.86
7,126.91,81.73,186.66,142.42,122.46,191.29,188.76,136.21,158.85,73.75,169.07,141.22,146.46,124.23
8,115.22,141.11,113.28,138.64,94.18,112.07,155.8,125.97,108.78,121.14,78.14,106.94,134.36,112.12
9,156.5,136.6,136.34,83.7,90.15,154.72,181.1,136.64,144.97,129.83,105.15,119.31,121.76,118.89
10,103.66,127.76,145.72,91.52,98.81,79.44,159.78,114.87,99.25,98.24,159.1,131.17,125.04,127.83
11,125.94,95.99,168.36,87.53,134.2,142.27,150.17,105.28,139.91,108.22,115.64,99.63,132.24,198.44
12,179.23,145.18,121.62,115.9,137.2,223.82,134.82,78.99,119.95,128.03,132.34,129.6,108.55,108.79
13,131.94,119.55,125.24,152.17,93.28,162.76,217.29,168.25,110.87,122.97,156.1,86.82,101.45,110.01
14,162.62,134.07,182.06,123.14,98.02,222.48,188.73,98.43,83.86,115.87,121,71.36,145.79,129.37
15,104.97,132.91,113.42,104.39,129.88,184.52,187.46,127.3,135.09,120.11,157.07,98.19,155.85,121.51
16,107.22,135.17,195.41,113.65,117.24,100.33,150.44,211.84,178.48,137.92,144.79,143.75,166.22,121.77
